@ HyperIMU -ianovir - 2018
@ Date:Thu Nov 21 16:18:56 GMT+07:00 2019, Sampling Rate:20ms

BMI120_Accelerometer.x,BMI120_Accelerometer.y,BMI120_Accelerometer.z
-3.692566,-6.425583,5.6240997
-5.945511,-7.0815887,6.332779
-5.945511,-7.0815887,6.332779
-4.8609314,-6.473465,6.9744263
-4.3150635,-6.540497,6.8283844
-3.8936768,-6.3920593,6.902603
-4.0708466,-6.0712433,6.969635
-4.3940735,-5.9036407,7.0510406
-4.5089874,-5.922806,6.8690796
-4.444351,-6.004196,6.8331757
-4.7148895,-6.2100983,6.739792
-4.468292,-6.0688477,6.4309387
-4.633484,-5.8030853,6.497986
-5.174576,-5.738449,6.720642
-4.7029114,-5.635498,6.605713
-4.7938995,-5.6642303,6.507553
-5.354141,-5.8820953,6.8044434
-5.416397,-5.7911224,7.0893555
-5.119507,-5.7719574,6.84993
-5.155426,-6.090393,7.0223083
-5.136261,-6.1191254,7.0821686
-5.009369,-5.7240753,6.9600677
-5.828186,-5.4200134,6.555435
-6.704468,-5.774353,6.4884033
-7.075577,-5.3960724,2.877945
-6.563217,-5.628311,3.6536713
-7.061203,-6.1119385,5.834793
-8.502518,-5.8246307,7.5921326
-8.514481,-5.5900116,7.9991455
-8.962204,-5.36734,8.027878
-8.624619,-5.6331024,8.123642
-9.057968,-6.667389,7.953659
-9.761871,-6.9307556,7.163574
-9.227966,-6.789505,6.3519287
-8.088318,-8.613876,5.9999847
-9.151352,-8.21405,5.806061
-10.484909,-7.821396,6.316025
-10.25029,-8.192505,6.4093933
-8.524063,-8.477417,5.106949
-7.927902,-8.975403,5.0231476
-8.030853,-8.858093,4.5036163
-7.894394,-8.0728,3.9194336
-7.1617584,-7.8668976,3.3136902
-6.388443,-7.5915527,3.6536713
-5.1937256,-7.4287567,4.218704
-4.18338,-6.454315,3.6057892
-3.8410034,-6.272354,3.0311737
-3.6087646,-6.3848724,2.5236053
-3.4866638,-7.0408936,2.336853
-3.2472382,-7.213272,2.3416443
-2.6055908,-6.832596,2.1788483
-1.9950714,-6.188553,2.4302368
-2.3302612,-5.8509674,2.102234
-3.5297546,-6.3417816,2.2171478
-3.3549805,-5.221298,0.9577942
-3.3118896,-4.6538696,1.051178
-3.1299286,-4.883713,1.2762299
-4.36055,-5.1351013,2.0303955
-5.0668335,-5.0273743,1.8508301
-4.93515,-6.236435,3.2825623
-4.444351,-7.0097656,3.1245575
-4.080429,-5.901245,3.320877
-7.870453,-7.18454,3.7398682
-11.23909,-8.654587,4.865143
-8.409149,-7.852524,3.225113
-6.771515,-7.4670563,3.1532745
-8.124237,-8.573181,4.6544495
-9.948608,-10.361649,6.3064423
-10.080292,-10.112656,7.778885
-9.970169,-8.886826,5.343979
-9.663696,-8.051239,3.6943665
-10.106628,-8.652191,2.4086914
-9.381195,-10.019272,0.9673767
-9.32373,-10.026459,0.5627594
-9.630188,-9.842102,0.6465454
-10.149719,-8.45108,-0.15789795
-9.0555725,-6.9546967,0.0025177002
-7.396393,-6.35376,1.09906
