@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 12:51:06 GMT+07:00 2019, Sampling Rate:20ms

BMI120_Accelerometer.x,BMI120_Accelerometer.y,BMI120_Accelerometer.z
3.7605896,-8.858093,1.7407074
3.7294617,-8.822174,0.9673767
3.8778992,-8.764709,1.154129
4.0455017,-8.78627,1.7622528
3.8012848,-8.8628845,2.3464355
3.5187683,-9.176514,1.7981567
3.5163727,-9.095123,1.3648071
3.6743927,-8.905975,1.3576355
3.5881958,-8.795837,1.269043
3.703125,-8.6474,1.1972198
3.6289062,-8.946671,1.4150848
3.5546875,-9.083145,1.5659332
3.6289062,-8.925125,1.8675995
3.734253,-8.762329,1.8604126
3.695938,-8.929916,1.3863678
3.5115814,-8.980194,1.3001709
3.4636993,-9.075958,1.6856384
3.4086304,-9.004135,1.6138153
3.4876404,-8.740768,1.6712646
3.9377594,-8.690491,1.5324097
3.9497223,-8.812607,1.2451019
3.7462158,-9.008926,1.1684875
4.117325,-8.458252,2.2315063
4.426178,-8.175735,1.9968872
4.3495636,-8.33136,1.0320129
4.490814,-8.405594,0.6633148
4.6727753,-7.773514,0.9362488
5.154007,-7.2108765,2.1381378
6.1045074,-7.4479065,2.221939
7.7373505,-7.227646,1.960968
9.286407,-6.3848724,1.348053
9.398926,-6.241226,1.5802917
9.477936,-6.509384,2.34404
9.650314,-7.208481,2.7821808
10.002274,-7.433548,3.5315704
10.210571,-7.663391,2.6696472
10.256058,-7.850128,1.7383118
10.617584,-8.096741,2.4062958
11.541748,-7.8836517,1.9992828
12.355774,-8.05603,0.7471161
10.976715,-9.075958,0.7016144
10.354218,-9.691269,1.4294586
10.725311,-9.497345,3.5890198
12.030151,-8.953857,2.573883
10.861786,-9.166946,0.5196533
10.16507,-9.468613,0.8093567
9.832275,-9.2148285,2.5834656
9.628769,-8.326584,2.786972
8.678268,-7.984207,0.6321869
7.521881,-7.8429413,0.009689331
6.664749,-7.3449554,0.79499817
6.29126,-6.7368317,1.7622528
5.996765,-6.188553,1.0918732
5.6855164,-5.9299774,0.28503418
6.102112,-4.7017517,0.2634735
6.1092987,-4.1439056,1.1325684
5.628067,-3.9427948,0.8692169
5.4437103,-3.5812683,0.6465454
5.5634155,-3.128769,0.7734375
5.8195953,-2.781601,1.158905
5.1252747,-2.6451416,1.0822906
4.936142,-2.4105072,0.56036377
4.6416473,-2.3602295,-0.18902588
4.644043,-2.702591,0.58670044
4.253784,-2.8414612,1.4414215
3.9281769,-2.829483,0.58670044
3.7294617,-3.3801575,-0.43562317
4.359131,-3.5022583,0.65133667
4.8834686,-3.5190277,1.2905884
4.7422028,-3.8398438,0.4837494
4.703903,-4.0960236,0.22038269
5.1755524,-4.627533,0.4190979
5.7142487,-4.8908997,0.9242859
5.513138,-4.8908997,1.2522888
5.742981,-5.872528,0.7327423
6.5354614,-6.8589325,-0.03100586
7.114868,-7.0121613,-0.83306885
8.031845,-6.7368317,0.9530029
8.616028,-7.4359283,1.8987274
8.764465,-8.5468445,0.94343567
8.264084,-9.210037,-0.17944336
8.666306,-9.29863,0.16770935
10.12677,-9.600296,0.9362488
10.552933,-9.911545,0.63697815
10.533783,-10.438263,-0.14593506
10.289566,-10.893158,0.5747223
10.148315,-11.27623,1.213974
9.643143,-11.285812,-0.24169922
8.948822,-11.264267,-0.94558716
8.680664,-11.458191,0.3975525
8.386185,-11.700012,0.43826294
8.153946,-11.688034,0.64894104
7.5984955,-11.285812,0.77822876
7.3375244,-10.84288,0.7183838
7.2633057,-10.9027405,-0.0022735596
6.980789,-10.538818,-0.4882965
6.3415375,-10.203629,-0.22492981
6.3822327,-10.0168915,0.28503418
6.8395233,-9.889984,0.4981079
5.965637,-9.356079,0.36642456
4.8858643,-9.2148285,0.5148773
4.5386963,-9.071167,0.8955536
4.6224976,-8.594727,0.8404846
4.818817,-8.348129,-0.0549469
4.7733307,-8.266724,-0.7013855
5.130066,-7.7208405,0.75668335
5.2186584,-7.014557,1.2570801
4.9098053,-7.050461,-0.0022735596
4.4285736,-7.443115,-0.44999695
4.770935,-7.2180634,0.9458313
4.9193726,-6.5716248,0.9530029
4.9935913,-6.3369904,-0.24409485
5.249771,-6.619507,-1.0174103
5.280899,-6.9259644,-0.9072876
6.126053,-6.7631683,-0.014251709
6.576172,-6.4040375,0.06954956
6.4301147,-7.2252502,-1.0293884
6.2194366,-8.084763,-1.414856
6.2002716,-8.633041,-1.2352905
7.7062225,-8.202072,-0.02861023
9.224152,-7.905197,0.5914917
9.511459,-8.544449,0.28024292
8.92009,-10.0408325,-0.0549469
8.984726,-10.581909,0.4837494
10.110001,-10.546005,0.91230774
10.768417,-10.579529,0.9793396
10.756439,-11.501282,0.64894104
10.442795,-12.34166,1.0104675
10.397308,-12.822891,1.6233826
10.928818,-12.605011,0.6417694
11.43161,-12.42067,-0.15310669
11.422028,-12.545166,0.3784027
10.804321,-12.91626,0.85484314
10.600815,-12.753464,0.60105896
10.198593,-12.214767,0.36164856
9.5354,-11.439041,0.36402893
9.238525,-10.641769,0.33052063
9.06134,-10.098282,0.1222229
8.290421,-9.509308,-0.05255127
7.6080627,-9.0807495,0.08869934
7.2633057,-8.0368805,-0.05015564
7.02388,-6.9187927,-0.8019409
6.205063,-6.6889496,-0.7995453
5.271332,-6.279541,-0.2967682
4.940933,-5.5038147,-0.11959839
4.8762817,-4.7280884,-0.6223755
4.7015076,-3.9882812,-0.87376404
4.648834,-3.8039246,-0.95996094
4.3615265,-3.559723,-0.7444763
4.4046326,-2.8390656,-0.4308319
4.5794067,-2.314743,-0.3470459
4.644043,-2.204605,-0.7013855
4.57222,-2.247696,-0.91207886
4.4477234,-2.2692413,-0.6175842
4.193939,-2.3961334,0.07913208
4.117325,-2.6092224,0.16052246
4.4142,-2.6762543,-0.43322754
4.588974,-2.59964,-0.05973816
4.9337463,-3.0258179,0.3975525
5.3766785,-4.076874,0.2706604
5.7214355,-4.45755,-0.02142334
6.1595764,-3.8182983,0.09109497
6.410965,-4.244461,0.21559143
6.782074,-5.7719574,-0.0262146
6.822769,-5.8150635,0.23953247
7.3447113,-5.975479,0.9314575
7.849884,-7.0911713,0.2922058
8.532227,-8.307419,0.11024475
8.716583,-8.216446,-0.51223755
9.621597,-8.484589,-0.68463135
10.36618,-8.769501,-0.93122864
10.873764,-9.406357,-0.84742737
10.306335,-10.036041,-0.46914673
9.753265,-10.964981,0.14137268
9.736511,-11.467773,-0.22972107
9.995087,-11.601852,-0.3255005
10.423645,-11.455795,0.03842163
10.344635,-11.482132,-0.014251709
9.846649,-11.53241,-0.29197693
9.272034,-11.503677,-0.2321167
9.197815,-11.393555,0.39515686
8.944031,-11.0607605,-0.0070648193
8.771652,-10.5507965,-0.19621277
8.489136,-10.0504,0.11264038
8.367035,-9.731979,0.41670227
8.041412,-9.119064,0.39276123
7.624832,-8.927521,0.44065857
7.3686523,-8.767105,1.0009003
7.198654,-8.120682,0.9577942
7.10289,-7.4886017,0.3568573
6.8921967,-7.122299,0.15335083
6.6025085,-7.2180634,0.48135376
6.4205475,-6.9810333,0.6106415
6.5187073,-6.4926147,0.7973938
6.1907043,-6.4710693,0.61782837
5.8914185,-6.5069885,0.26586914
6.0685883,-6.291504,0.35446167
6.2673187,-6.0161743,0.0025177002
