@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 16:25:48 GMT+07:00 2019, Sampling Rate:20ms

BMI120_Accelerometer.x,BMI120_Accelerometer.y,BMI120_Accelerometer.z
0.12619019,-10.122223,1.2953796
0.32730103,-9.916321,0.88597107
0.6864319,-9.660141,0.86442566
1.0575256,-9.61705,1.2235565
0.96655273,-9.734375,1.4725494
0.6816406,-9.801407,0.7303467
0.54756165,-9.664932,0.7135925
0.8755646,-9.329742,0.59866333
1.1317444,-9.799011,0.8596344
0.72473145,-10.318558,1.316925
0.36082458,-10.218002,0.57232666
1.7159424,-9.4518585,1.4557953
3.2147064,-9.7487335,1.8915405
5.3647003,-8.087158,4.039139
7.3375244,-7.8836517,3.5435333
10.332672,-7.613098,0.34487915
14.280701,-11.190048,1.3911438
17.244736,-11.0009,2.3392487
21.693161,-7.7926636,0.5052948
24.432129,-11.7335205,1.8412628
26.984344,-14.620941,3.8787231
26.06018,-16.251389,6.0502625
24.271713,-20.704605,5.226654
20.20636,-25.531311,3.4238281
18.257477,-26.005356,4.261795
16.258316,-25.818619,4.9561157
10.981491,-26.790665,6.3734894
4.3663177,-26.666168,6.581772
-3.103592,-23.026978,4.4964294
-9.721161,-21.621582,3.8116913
-13.350769,-18.86824,-0.9144745
-15.907776,-16.126892,-3.588791
-18.632385,-15.245819,-5.786667
-21.445572,-14.977676,-4.965454
-24.253967,-15.442139,-0.97431946
-25.209259,-17.163574,-1.5776672
-18.076935,-17.824371,-1.7859497
-10.475342,-17.805222,-2.3988647
-4.942337,-19.61763,-4.5512543
-2.4332123,-24.978256,-3.46669
1.7709961,-30.652512,-0.7372894
5.6903076,-33.817642,2.605011
12.166626,-37.89975,4.427002
14.692505,-41.37375,3.6440887
16.047623,-43.57402,3.8092957
16.734756,-43.42079,4.3312225
16.361267,-42.30269,5.1213226
17.54161,-38.51268,5.5283356
17.71878,-30.990097,5.2290497
15.73877,-25.46428,4.7262726
12.786728,-21.640732,3.4884644
10.179443,-20.304764,2.8157043
8.903336,-17.991974,4.9441376
11.7500305,-15.1716,4.980057
16.445068,-11.506073,5.300873
19.478516,-4.4048767,2.8875275
19.464157,-2.6068268,2.102234
19.43303,-2.4559937,3.9792786
19.150513,-2.132782,5.0375214
18.398727,-2.3051605,6.5985413
18.221558,-3.1239777,7.048645
16.68927,-6.3106537,3.320877
16.191284,-9.087936,2.1453247
17.24234,-13.000061,3.9601288
17.584702,-16.505173,4.1875763
19.789764,-20.376602,4.980057
23.675552,-26.002975,8.003937
25.866257,-32.98207,11.784378
23.079391,-44.974625,11.786774
23.029114,-50.926605,8.322357
22.602951,-52.425385,4.889084
20.814484,-51.6353,2.6744385
16.145798,-52.03273,-0.37338257
11.879318,-49.02562,-0.69659424
9.348648,-41.40486,0.02645874
3.7534027,-35.50316,-0.36619568
-3.8721313,-31.342041,-2.6766052
-13.963684,-28.921494,-5.633438
-16.451263,-22.344635,-5.214447
-16.333954,-16.744598,-8.058762
-14.51915,-12.2387085,-5.6980896
-17.772858,-14.534744,-2.609558
-22.13031,-16.560242,-4.072418
-24.751968,-19.502716,-5.6477966
-22.728867,-19.552994,-5.1689606
-17.198257,-18.873032,-3.2464142
-13.855957,-20.848251,-2.2432556
-10.061142,-26.048462,-2.5401306
-5.8329773,-34.490417,-2.5712585
-0.17547607,-41.177414,0.15574646
11.46991,-45.932297,3.6632538
16.981369,-49.854004,4.656845
18.875183,-52.341583,6.945694
20.845612,-52.401443,10.797974
22.037918,-47.64177,10.376587
22.344376,-39.415283,9.89296
19.873566,-31.665253,8.71022
17.237549,-26.49617,8.063782
11.742859,-20.62799,6.7613373
9.549759,-19.069366,6.3663025
12.001434,-16.90979,5.695923
15.4969635,-13.404678,0.6968231
19.7323,-8.788666,-0.011856079
26.242142,-5.671402,6.9002075
26.05539,-3.8973083,10.570511
23.709076,-4.184616,11.11879
22.035522,-3.8254852,8.959213
19.662872,-6.219681,4.625717
17.991714,-8.429535,3.107788
16.519287,-11.688034,5.1811676
14.96785,-14.766983,5.9209747
14.081985,-20.364624,5.1763763
21.729065,-24.91121,9.464401
28.102432,-28.871216,12.062103
30.649872,-35.682724,16.805023
25.959625,-49.42784,13.934372
17.022064,-59.94557,5.561844
11.534561,-60.553696,4.0774384
12.966293,-55.638397,5.882675
11.462738,-50.682404,6.914566
6.7677,-50.84999,4.704727
-1.0709076,-49.60501,-5.712448
-3.6829834,-42.534927,-2.233673
-4.1259155,-30.39154,-0.8905182
-12.36676,-26.309433,-5.403595
-20.791946,-22.229706,-10.175232
-21.512604,-15.399048,-6.078766
-24.591553,-12.300949,-7.491333
-27.052795,-13.301727,-10.02919
-26.468613,-14.877121,-10.182419
-23.025742,-15.590591,-9.382751
-19.527817,-17.541855,-7.936661
-14.997986,-22.160278,-7.1178436
-11.014038,-27.956635,-4.9750366
-7.0899353,-35.706665,-4.213684
2.0846405,-43.35135,-3.0812225
10.562515,-50.759018,-0.3805542
15.20726,-63.292664,6.332779
20.759415,-66.51286,8.513901
25.219818,-60.977463,8.329544
23.972443,-54.455658,7.072586
21.714706,-49.030396,6.205887
17.06517,-37.966797,10.024643
14.465057,-30.762634,8.803604
12.43718,-27.286255,5.956894
11.728485,-25.275131,5.480438
12.61673,-19.97676,5.463684
18.956589,-15.911407,5.03273
28.042572,-11.539597,1.7861938
32.301865,-3.473526,3.272995
30.594803,0.38113403,11.327087
25.325165,-2.5038757,10.620804
20.891098,-5.848572,7.096527
19.45697,-8.065613,1.9394226
19.296555,-8.86528,1.6712646
17.28543,-13.237091,3.5124054
15.978195,-18.916138,4.867523
16.861664,-24.829803,6.6823273
20.278183,-27.097122,5.913803
23.057846,-34.847153,7.2641296
24.980392,-43.92836,8.937668
28.418472,-49.96414,8.80838
31.626694,-56.866623,11.250473
33.795853,-67.63814,9.112442
25.00673,-70.89186,2.1692657
12.822632,-57.93683,-0.10522461
9.465973,-51.046326,0.27545166
7.095703,-47.411926,1.1708832
1.4094849,-42.084824,-1.1395264
-2.1698456,-32.699554,1.530014
-9.093887,-24.633484,-2.1594543
-14.567032,-22.655869,-4.2902985
-20.858994,-22.900085,-3.0931854
-24.146225,-20.161118,-2.9303894
-25.43431,-16.148438,-5.094742
-26.260315,-17.640015,-4.1490326
-26.61705,-19.919296,-2.489853
-24.929138,-20.323929,-4.007782
-20.284378,-21.712555,-6.5288696
-14.38028,-27.197678,-7.1657257
-8.375626,-32.733063,-6.4498596
-0.19464111,-43.581192,-2.6909637
9.121201,-51.61853,1.9202728
13.969467,-57.939224,4.515579
20.493668,-67.207184,5.7868958
25.650772,-68.41147,5.9353485
23.905396,-66.25429,5.5522766
19.51204,-64.243164,10.220963
20.369156,-58.092453,10.618408
20.84082,-47.878784,10.601639
17.194458,-38.012283,8.437286
13.849747,-34.28212,4.7502136
12.3390045,-31.04277,5.2793274
15.911163,-26.14183,6.8283844
21.106583,-18.528275,6.418976
24.808014,-9.624237,6.0023804
24.329178,-7.881256,5.1644135
23.314026,-5.0201874,7.7812805
22.851944,-1.8909607,8.777267
22.246216,-1.9675751,8.1332245
21.192764,-4.864563,6.260956
20.831238,-4.5269775,2.205185
18.121002,-7.852524,0.40953064
15.643005,-12.564316,2.1620789
15.494568,-17.082169,6.2681427
16.253525,-22.217743,3.9697113
19.737091,-26.675735,4.245041
22.605347,-31.698776,7.0701904
25.6819,-47.268265,10.62558
24.089752,-53.385452,10.364624
28.789566,-61.02057,9.169907
29.641907,-68.32048,4.5514984
26.507889,-68.835236,3.9122467
21.027573,-65.36844,-0.30873108
18.015656,-56.591293,0.13180542
12.655045,-49.88034,3.0551147
5.0175476,-42.654648,1.2881927
-1.755661,-39.108826,-3.952713
-10.875168,-35.1129,-5.896805
-15.84314,-24.473068,-1.8577881
-19.731323,-20.78122,-1.2903595
-23.485428,-21.288788,-0.9431915
-25.147003,-20.027039,-3.8449707
-25.012924,-17.69748,-3.9575043
-25.841324,-18.006332,-6.538452
-23.662598,-18.853882,-7.4602203
-18.00032,-21.29358,-5.386841
-14.60054,-26.29985,-5.626251
-10.937424,-31.75624,-6.1553802
-2.179428,-40.284378,-4.5392914
5.312027,-54.024704,-1.8673553
11.434006,-61.40364,3.6584625
21.245438,-67.781784,4.9393616
23.191925,-71.62688,6.0023804
24.329178,-75.83827,5.0973663
25.442474,-69.28296,7.66156
24.25734,-61.760376,8.138016
23.364304,-51.585007,9.229767
21.757797,-39.489502,8.138016
16.588715,-30.599838,7.036682
12.276764,-27.870453,4.8842926
8.675888,-25.672562,4.913025
10.646317,-21.102036,7.8722534
15.391617,-14.364761,8.073364
19.028412,-10.692047,4.3623505
20.615768,-6.533325,4.237854
20.36438,-1.7521057,6.4572754
18.259872,-2.1615143,8.873032
16.698853,-3.0306091,9.081329
14.958267,-2.460785,7.3359528
13.536118,-2.1950226,3.933792
11.345413,-4.6778107,0.96977234
7.4716034,-9.028076,1.0822906
4.1843567,-12.808517,1.4988861
3.241043,-15.205124,-0.03819275
1.5651093,-18.281662,-1.6973724
-3.041336,-21.054153,-1.5058289
-5.1602173,-21.401306,-0.42366028
-1.6981964,-19.31836,-1.4268188
-1.3318787,-19.00711,-2.3102875
-2.5433502,-19.3423,-1.893692
-4.8848724,-17.843536,-4.0604553
-0.58488464,-19.351883,-3.569641
-0.67108154,-18.935287,-2.8944702
-2.1267548,-16.711075,-2.451538
-3.2352753,-15.25061,-2.451538
-1.6790466,-18.054214,-4.735611
-1.9687347,-16.761353,-4.024536
-3.1610565,-13.603394,-1.1131897
-4.056488,-10.198837,-2.7579956
-2.0740814,-9.89238,-4.316635
-0.67108154,-11.498901,-3.4858398
-0.6112213,-11.443832,-2.2743683
-0.5322113,-9.837326,-0.9719238
0.98809814,-8.96344,-1.4124603
2.367157,-9.868439,-0.5888519
2.2737885,-10.94104,0.81414795
1.2538605,-11.767044,0.7111969
1.8117065,-10.572342,0.66571045
3.2601929,-9.83493,0.6968231
3.671997,-9.473404,0.541214
3.5953827,-9.449463,0.5196533
2.6664276,-9.746338,-0.64871216
3.3439941,-9.667328,-0.1124115
3.3799133,-9.504532,-0.1698761
3.679184,-9.4326935,0.5196533
3.703125,-9.178909,-0.04058838
3.5570831,-8.927521,-0.47633362
3.8826904,-9.018509,0.18925476
3.861145,-9.131027,0.07913208
3.2027435,-9.55719,-0.260849
3.6528473,-9.178909,0.8404846
3.6528473,-9.032867,-0.2536621
3.7318573,-9.236374,1.0703278
3.4613037,-9.391998,0.61543274
3.3128662,-9.284256,0.4981079
3.5427094,-9.490158,-0.33267212
3.4397583,-9.063995,-0.8641815
