@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 15:48:25 GMT+07:00 2019, Sampling Rate:20ms

LSM6DS3_Accelerometer.x,LSM6DS3_Accelerometer.y,LSM6DS3_Accelerometer.z
0.0,0.0,0.0
7.1109924,-3.8878632,4.802292
6.8023224,-4.2515717,4.4361877
6.8118896,-4.414276,5.39093
7.4076996,-4.1797943,5.3311005
7.627838,-3.8615417,4.637192
7.0176697,-4.646393,4.572586
6.957855,-4.0864716,5.087036
7.690048,-4.0290375,5.4507446
7.6709137,-4.0410004,6.1039886
7.977188,-4.297043,4.864502
7.290451,-3.5385132,3.4527435
7.2593384,-4.404709,4.5414734
6.957855,-4.1606445,5.1540375
7.5464783,-4.3783875,4.0246277
6.9961395,-4.610489,3.4288177
6.7329254,-5.18956,4.594116
6.350067,-5.481476,3.8666992
6.1586456,-5.754257,2.8114624
6.957855,-5.400131,2.9765778
6.93631,-5.9193726,3.0914307
7.0607452,-5.034027,3.7111664
8.852966,-4.9431,4.7544403
8.541901,-5.2541656,3.672882
7.1923523,-5.1105957,3.019638
8.06572,-4.794739,3.5939178
8.434219,-5.4599457,5.0319977
7.7044067,-4.931137,2.2898254
7.903015,-4.6655273,1.6868439
8.683075,-3.9955444,2.3233337
8.092041,-3.9189758,2.218048
9.065933,-3.2202606,3.775772
10.149872,-1.9616394,3.6896362
11.162033,-1.4328308,4.852539
10.264725,-0.97579956,8.027817
9.800522,0.19429016,9.238586
11.39415,1.8477325,8.707382
12.705414,2.7474365,7.6401825
14.124359,3.8146362,6.572983
16.227646,4.8555145,6.9582214
17.503021,4.089813,7.6234283
16.892853,2.4483337,7.231003
16.797134,1.2806396,7.934494
17.06514,0.08660889,9.173981
17.663345,-1.8132782,9.942078
16.768417,-3.3997192,9.257736
15.60791,-4.4597473,8.511169
13.59314,-5.572403,7.522934
12.32016,-6.0174713,6.3289185
11.43721,-6.4410095,4.945862
8.199722,-6.1586456,3.885849
6.8764954,-5.916977,3.6345978
6.3428955,-5.3403015,2.8114624
5.1871643,-5.079483,1.4308014
4.4908447,-4.7062073,1.2417755
4.3879547,-4.215683,1.1843414
