@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 15:42:55 GMT+07:00 2019, Sampling Rate:20ms

LSM6DS3_Accelerometer.x,LSM6DS3_Accelerometer.y,LSM6DS3_Accelerometer.z
0.0,0.0,0.0
6.357254,-6.0342255,4.594116
5.960037,-5.5747986,4.3045807
6.4625397,-5.4790955,4.144272
7.0535583,-5.505417,2.641571
6.9793854,-5.754257,4.005478
6.4362183,-5.4384155,4.527115
6.9458923,-5.653763,4.182556
6.9267426,-5.883484,3.615448
6.8190613,-5.78537,4.1299133
6.7209625,-5.653763,4.7711945
6.378784,-5.99115,3.0531464
6.2495728,-6.163437,2.3400726
5.88826,-6.551071,2.0672913
6.122757,-6.725754,4.716156
6.110794,-6.9554596,4.9147644
5.1919403,-6.615677,2.2371826
5.6609344,-7.5058136,3.3713837
6.58696,-6.397934,4.433792
8.058548,-5.0364227,2.6032867
8.434219,-5.165634,2.9813538
7.5632324,-5.8810883,3.960022
7.177994,-5.8858643,4.1394806
7.2593384,-5.469513,3.9097748
7.5512695,-5.481476,3.7901306
7.5345154,-5.4790955,2.407074
7.5297394,-5.452774,2.4309998
7.1851654,-5.5173798,3.7662048
7.166031,-6.2687225,3.507782
6.335724,-6.558258,2.2060852
6.3022156,-6.4649353,2.899994
6.8070984,-6.2687225,3.9719849
6.8884583,-6.5678253,3.2086792
6.5438843,-6.4745026,1.6868439
6.4218597,-6.505615,2.4549408
6.225647,-6.7329254,3.3330994
6.0150757,-7.2019196,2.9957123
5.794937,-6.929138,2.1845398
6.3716125,-6.479294,3.1440735
6.44339,-6.5199738,3.3211365
6.235214,-6.902817,2.4908295
5.88826,-6.862137,2.2611237
5.9026184,-6.591751,3.426422
5.995941,-6.890854,3.6680908
5.6489716,-7.4770966,3.4623108
5.543686,-7.223465,2.9789581
5.6106873,-6.8860626,2.9765778
5.9073944,-7.034424,3.060318
5.8834686,-7.067917,2.442978
5.8834686,-6.821457,2.4333954
6.0796814,-6.546295,3.100998
6.5367126,-6.615677,3.6896362
6.529541,-6.957855,2.579361
