@ HyperIMU -ianovir - 2018
@ Date:Wed Nov 27 12:11:24 GMT+07:00 2019, Sampling Rate:20ms

K6DS3TR_Acceleration_Sensor.x,K6DS3TR_Acceleration_Sensor.y,K6DS3TR_Acceleration_Sensor.z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.9537282,3.842811,8.626573
-0.13647367,3.0766432,8.796566
-0.25139886,3.15326,8.990502
-0.052674048,2.82285,9.371192
0.9792584,3.4238129,10.257073
2.6360965,3.5243726,9.287392
1.4844503,3.2107224,5.3679643
0.09337672,3.7326744,9.024022
0.45970076,3.7302802,9.656111
2.7414446,2.9377751,8.032792
1.9824595,3.3567734,8.892337
2.4780743,2.5187771,7.47732
3.2921278,2.597788,4.7095385
3.241848,2.7821474,3.1029801
2.3224466,2.1237218,4.599402
4.02717,1.2091088,5.6935854
6.136526,0.53392327,4.925023
5.827665,-0.117319465,6.6249585
6.160469,-1.7909175,6.9577627
5.8156934,-2.0973847,5.4086666
6.526793,-2.803696,5.3009243
6.5028505,-3.562681,5.9713216
6.3544054,-4.905869,5.38233
6.526793,-5.834848,4.5060253
7.290567,-6.919454,4.09421
8.243488,-8.0711,2.8013015
8.600235,-8.667274,2.4349775
9.09585,-9.160496,2.5235655
9.809344,-9.680053,2.7941186
10.161303,-10.163696,3.2035396
10.711986,-10.843671,3.5866237
11.312948,-11.140561,3.842811
12.196436,-11.080704,3.9002736
12.653743,-10.937047,3.8835137
13.034432,-10.522838,4.2402606
12.998518,-10.321719,4.3599744
12.390372,-10.113417,4.563488
11.4997015,-9.744699,4.68799
10.963385,-9.505271,4.5491223
10.738322,-8.892337,4.1612496
10.364816,-8.013638,3.8380225
10.005674,-7.5515428,3.6273263
9.737515,-7.082265,3.1388943
9.557945,-6.6201696,3.1149516
9.543579,-6.2251143,2.5929997
9.656111,-5.90907,2.169213
9.665688,-5.5906315,2.300898
9.684841,-5.3272614,2.8491871
9.653716,-4.8843207,3.8835137
9.912297,-4.5012364,4.063084
10.419884,-4.3695517,4.3073006
10.958596,-3.9361877,4.1540666
11.779832,-3.6991546,3.6177492
12.213196,-4.070267,3.2921278
11.9187,-5.0758624,2.8563697
11.159715,-6.0886407,2.7486274
10.225947,-7.5323887,3.1149516
9.692024,-8.557138,3.5890179
9.63935,-9.70639,4.063084
9.814133,-10.99451,3.921822
9.809344,-12.143762,3.9481592
9.5483675,-12.450229,3.7781656
9.900327,-12.210801,3.510007
10.537204,-11.763072,3.2873392
11.102252,-11.344074,2.5594797
10.992116,-11.219572,1.9633054
10.4294615,-11.013664,1.4772675
9.478934,-10.338479,1.637684
8.8085375,-10.175668,1.4174107
7.9418097,-9.253872,1.7143008
7.0535336,-8.231517,1.7741576
6.6872096,-7.762239,1.9728824
6.3208857,-7.3240867,1.7262721
5.8683677,-6.8691745,0.69912827
5.7199225,-6.7662206,0.27055305
5.233885,-6.56989,-0.2466103
4.783761,-6.244269,0.08858817
4.5515165,-5.643306,0.37350687
4.697567,-5.6552773,0.409421
4.6999617,-6.091035,0.21787901
4.745453,-6.6632667,0.3328042
5.0064287,-7.326481,0.3902668
5.547535,-7.2378926,0.30646718
6.9745226,-7.2426815,0.3040729
7.3432407,-7.1732473,0.339987
6.344828,-6.6273527,0.2753416
5.626546,-6.0096297,1.4174107
6.2706056,-5.968927,2.1835787
7.620977,-6.304126,1.541913
8.403905,-6.5411587,0.38547826
8.813326,-7.26423,-0.68236834
9.342461,-8.219545,-0.77574503
9.730332,-8.209969,-0.43336374
9.596253,-8.408693,-0.36871833
9.371192,-8.628966,-0.18435916
9.081485,-9.63935,0.64166564
9.196409,-10.23313,1.3048798
9.395134,-10.568329,2.0231621
9.960183,-10.922682,2.8204558
10.082292,-10.810151,3.6991546
9.976943,-10.348056,4.2809634
10.204399,-9.646533,4.6664414
10.7048025,-8.820508,4.580248
11.07831,-8.035186,4.2665977
11.396749,-7.362395,3.7398572
11.494913,-6.6632667,3.337619
11.3105545,-5.9018874,3.1460772
11.509279,-5.0423427,2.8348215
11.870814,-4.2809634,2.865947
12.376006,-3.7853484,3.318465
12.80937,-3.476487,3.9002736
12.713599,-3.545921,4.1397014
13.221186,-3.902668,4.7191157
13.98496,-4.364763,5.150085
13.908342,-4.6544704,4.8938975
13.008095,-5.4757066,3.727886
11.997711,-6.682421,3.110163
11.765467,-7.860404,2.770176
11.827718,-9.505271,2.631308
10.91071,-10.225947,2.3416007
12.136579,-13.108655,2.9138324
11.466182,-12.754302,2.7031362
11.480548,-12.881199,2.3128695
10.8149395,-12.797399,2.2003386
10.067925,-12.23235,2.3416007
9.268238,-11.406325,2.0614705
9.177256,-11.253092,1.9920366
8.571504,-10.439038,1.89866
7.7670274,-9.447808,1.8627458
7.1109962,-8.707977,1.8364087
6.474119,-7.929838,1.6927522
5.734288,-7.046351,1.4221992
5.3631754,-6.550736,1.3144568
5.2410674,-6.3472223,1.3958622
5.044737,-6.517216,0.9026416
4.4677167,-5.9234357,0.60335726
4.2737803,-5.688797,0.53871185
4.563488,-5.8420305,0.5243462
5.1261425,-6.639324,0.41181526
5.193182,-7.2426815,0.29689008
5.317684,-7.2953553,0.22027329
5.427821,-6.7039695,0.5243462
5.830059,-6.646507,0.45970076
6.0479383,-5.995264,0.5363176
6.057515,-5.279376,0.81165916
6.318491,-5.355993,1.0032011
7.3647895,-6.167652,1.4293821
8.3679905,-7.1397276,1.2306572
8.794171,-7.901107,0.5363176
8.952193,-8.923462,-0.4166038
8.873182,-9.543579,-0.6177229
8.712766,-9.565128,-0.11013664
8.722343,-9.522031,0.845179
9.086273,-9.727939,1.7214836
10.132571,-9.926663,2.1452703
11.961797,-10.067925,1.8723229
12.897959,-9.917087,1.4365649
13.099077,-9.737515,1.2881198
13.099077,-9.483723,1.4198049
13.046404,-9.007262,1.7789462
12.981758,-8.411087,2.3799093
12.239532,-7.6018224,2.7749646
11.6098385,-6.7925577,2.9234095
11.221966,-6.019207,2.8563697
11.238726,-5.312896,2.7318676
11.020847,-4.640105,2.8539755
10.89395,-3.9673133,2.8108785
11.109435,-3.5219781,2.7366562
11.997711,-3.2633965,2.8707354
13.513287,-3.5914123,3.0119977
15.002526,-4.0822387,3.4309957
15.476592,-3.9505534,3.4333901
15.000132,-4.0367475,3.100586
13.889188,-5.116565,3.4573328
12.756696,-6.771009,3.3208592
11.581107,-8.626573,3.440573
11.281823,-9.766247,3.3495905
11.636175,-10.908316,3.222694
11.892363,-11.887574,2.9617178
11.868421,-12.885987,2.6935592
11.506885,-13.134992,2.308081
11.423085,-12.885987,2.073442
11.399142,-12.500508,2.116539
10.884374,-11.911517,2.1093562
10.525232,-11.542799,2.0447106
9.462174,-10.419884,2.1069617
8.506859,-9.550762,2.1835787
7.4198575,-8.660092,2.2601955
6.732701,-8.063917,2.2194927
6.203566,-7.5659084,2.1931558
5.827665,-6.9553685,2.1644244
5.6959796,-6.8284717,2.0087965
5.4733124,-6.8069234,1.7262721
4.972909,-6.3544054,1.498816
4.824464,-5.89231,1.3838909
4.946572,-5.4733124,1.211503
5.5307746,-5.8587904,0.85954463
6.186806,-6.6249585,0.4285752
5.9880815,-7.16367,0.31604427
5.9258304,-7.5754857,0.1699935
5.576266,-5.3535986,-0.7541966
5.7797794,-4.618556,-1.1971374
5.727105,-4.4222255,-1.5730386
5.7127395,-4.697567,-1.7214836
6.5387645,-5.2267017,-0.08140534
8.078283,-5.6361227,1.1109436
10.31693,-6.402291,1.0127783
11.250697,-7.328875,0.071828246
11.142955,-7.881953,-0.9792584
