@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 13:06:38 GMT+07:00 2019, Sampling Rate:20ms

K6DS3TR_Acceleration_Sensor.x,K6DS3TR_Acceleration_Sensor.y,K6DS3TR_Acceleration_Sensor.z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
8.992896,-0.9529214,1.7023294
8.46855,-0.91461295,2.152453
8.420665,-0.9241901,2.238647
8.408693,-1.5323359,1.9369683
9.179649,-1.7358493,1.3360053
10.108628,-2.0375278,1.1205206
11.595473,-2.0806248,1.1492519
11.296188,-1.9896424,0.7637737
10.261862,-1.9872481,0.90982443
9.035994,-2.0662591,1.3910737
9.514848,-2.083019,1.1708003
10.446221,-2.2506182,0.888276
9.8787775,-1.8411974,1.3551595
9.225141,-1.5874043,1.2665714
9.77343,-1.8627458,1.036721
10.225947,-1.9369683,1.0606637
9.991309,-2.056682,1.1037607
9.648928,-2.1931558,1.1444633
9.708784,-2.2266755,1.4772675
9.783007,-2.1668186,1.2809371
9.785401,-2.1332989,1.0822122
9.763853,-2.264984,0.98404694
9.692024,-2.4110348,1.1277034
9.440625,-2.5307484,1.0055954
9.354432,-2.403852,0.96489275
9.165284,-2.4637089,1.0534809
8.887548,-2.6145482,1.0678465
8.487704,-3.031152,0.91700727
8.492493,-3.1748085,0.6751855
8.873182,-3.0646718,0.9960183
8.262642,-3.6488748,1.0415095
8.444607,-4.3264546,0.74222517
9.040782,-6.308914,0.9577099
7.0008597,-6.567496,2.6959534
5.6504884,-6.402291,3.9266107
7.063111,-8.12138,1.6496553
7.3600006,-8.336864,-0.028731298
7.0343795,-8.090255,-0.82123625
6.308914,-8.377567,0.9696813
6.7039695,-8.454185,2.1931558
8.047157,-9.440625,2.1476645
7.393521,-9.531608,2.7175019
8.894731,-11.3656225,5.521198
10.697619,-13.020066,3.4549387
7.4845033,-12.670503,1.2498114
5.7031627,-12.476566,1.5610672
7.228316,-12.581914,2.4637089
8.537984,-12.229956,2.4804688
7.8723755,-11.9402485,3.529161
7.501263,-11.521251,3.9433706
9.536397,-10.810151,3.1580484
10.175668,-10.276228,2.308081
9.962578,-9.196409,3.0431232
9.067119,-7.4222517,3.929005
9.478934,-6.1054006,3.5890179
9.696813,-4.209135,3.493247
10.321719,-2.6241252,2.6767993
10.642551,-1.3455825,2.2697725
11.808563,0.014365649,1.4389591
13.240339,1.2330515,0.6847626
13.515681,1.690358,1.8292259
13.297802,1.8699286,4.5012364
13.625818,1.7310607,7.5060515
14.533248,1.1444633,8.2387
15.476592,-0.5985687,5.8779445
15.639403,-3.222694,4.067873
16.618662,-4.948966,4.8124924
19.180536,-7.5922456,6.4980617
20.535694,-9.735122,7.0894475
22.434355,-12.141368,7.099025
23.339392,-14.224386,7.0798707
23.720081,-16.19248,7.515629
23.969086,-16.57796,8.784595
23.1263,-17.075968,10.017646
20.803854,-17.741577,8.528407
18.297049,-17.6482,7.4366174
15.203645,-17.078362,5.99287
14.219598,-16.417542,4.5347567
12.404737,-14.8828125,4.1373067
10.290593,-13.166117,3.354379
7.0271964,-11.863631,1.786129
5.2482505,-11.67209,1.8340145
4.1540666,-10.834093,2.4469488
4.400677,-10.307353,2.0518935
2.360755,-11.109435,-0.9313729
-1.228263,-11.468576,-1.6424725
-1.9585168,-11.140561,-0.016759925
1.5275474,-11.602655,1.9202085
2.5570855,-11.645753,1.3551595
3.519584,-11.221966,-0.45970076
3.9744961,-11.648147,-0.5363176
5.008823,-12.787822,0.22266756
7.8891354,-13.63779,1.1300977
13.278648,-14.64099,2.6720107
15.572363,-15.031258,2.5594797
16.384022,-15.388004,2.5403256
19.130257,-15.227588,3.9050622
23.020952,-14.79183,4.4844766
23.609943,-14.322552,4.1540666
22.645052,-14.320158,5.602603
22.451115,-13.771869,8.406299
22.855747,-12.85965,7.2881727
21.208487,-10.834093,4.948966
20.58837,-9.974549,4.73827
18.732805,-8.157294,2.8491871
16.714432,-5.217125,1.3719195
16.597113,-3.668029,1.2474172
15.45265,-1.5323359,0.03351985
13.158935,-0.10774237,-0.45251793
12.459806,0.34956414,1.1779832
12.447835,1.7550035,3.0527003
13.216397,3.6081722,3.3950818
13.690463,4.764607,4.0104103
14.004113,5.312896,6.718335
15.371244,4.4198313,8.444607
16.398388,2.52596,8.597841
17.727211,-0.4070267,6.656084
19.032091,-3.0622776,4.1947694
19.977829,-5.8324533,3.4142358
18.83576,-8.655303,4.819675
18.76872,-10.379181,4.8124924
20.657803,-11.978557,4.02717
23.23883,-14.540431,4.4844766
22.98025,-17.875656,5.7103453
19.168564,-20.116697,7.680834
16.901186,-19.09913,8.5331955
20.313028,-18.7352,4.11097
16.668941,-18.285076,-0.83081335
14.631413,-17.51891,-0.5243462
14.329735,-16.06319,3.6297207
12.4622,-15.81179,4.252232
7.048745,-15.10548,3.179597
4.2211065,-13.498921,1.228263
4.3767343,-12.402344,-1.934574
2.056682,-12.141368,-2.8563697
-0.30167863,-10.76466,-0.5219519
0.10774237,-10.273833,0.7948992
0.28731298,-10.455798,0.22985038
0.28731298,-11.255486,-0.66321415
0.3232271,-11.260275,-1.0247496
3.3926873,-11.45421,-2.2673783
5.5331693,-13.067952,-3.8380225
5.794145,-14.040028,-2.8683412
7.5084457,-14.447054,0.047885496
10.077502,-13.879611,3.2825508
11.698426,-13.472585,3.3687446
13.791023,-13.3959675,2.7893302
15.656163,-13.197243,2.803696
16.226,-12.969787,3.007209
17.87805,-13.211608,1.924997
18.182123,-13.441459,2.0949905
19.091948,-14.121433,2.7462332
19.867693,-14.5117,4.249838
18.48859,-13.752714,5.6169686
17.736788,-12.9865465,5.288953
18.117477,-11.456605,5.516409
18.42155,-10.149331,5.305713
17.985792,-7.903501,3.9673133
16.5612,-6.117372,3.6632404
15.613066,-4.0582957,4.8843207
16.264309,-1.6233183,5.5451403
16.482187,1.1277034,4.494054
14.904361,3.6177492,3.318465
15.024075,4.7167215,4.400677
14.542825,5.3727527,4.192375
13.041615,5.1093826,3.0981915
12.000105,3.4477558,4.3623686
12.59628,2.595394,4.5874305
15.399976,0.9074302,2.317658
17.047237,-0.7326481,2.0016139
18.067198,-3.4190245,3.8667538
18.569996,-6.1293435,5.5092263
18.371271,-9.636956,4.513208
18.88125,-11.193234,3.842811
19.94431,-12.680079,6.3472223
18.653795,-14.899572,9.174861
17.528486,-15.46941,7.759845
18.47183,-15.220405,6.0479383
20.087965,-15.48617,6.0694866
19.230816,-16.065584,6.7566433
16.46064,-16.060795,7.0726876
13.300197,-15.5436325,5.99287
11.188446,-14.65775,4.4725056
9.404712,-14.042421,2.978478
6.2059603,-13.237946,1.5347302
4.5515165,-12.225167,-0.29928434
4.4892654,-11.109435,-0.0047885496
6.0311785,-10.89395,2.5020173
5.4254265,-11.023241,2.753416
1.5036045,-12.220379,1.9369683
-0.2370332,-12.335304,2.8970726
4.625739,-12.972181,2.6145482
5.5571117,-13.343293,1.3264283
3.3663504,-14.08073,0.9122187
6.876357,-12.941055,4.228289
10.642551,-12.177281,3.694366
11.839689,-12.208407,2.2961094
12.627405,-12.818948,1.9872481
14.736761,-13.192454,3.938582
17.624256,-12.96021,4.965726
19.537283,-12.277842,4.2809634
20.643438,-11.413508,4.2618093
20.396828,-10.474953,3.6871831
18.988993,-10.632975,2.4708917
18.895617,-10.984933,2.727079
19.28349,-10.786208,4.5539107
20.380068,-9.148524,5.317684
19.427145,-7.755056,3.1341057
17.545246,-6.23948,1.5059988
16.992168,-4.8340406,1.7166951
16.463034,-3.2442424,1.611347
15.727991,-1.5634614,1.2138973
15.007315,1.2617828,0.9217958
14.923515,3.265791,0.7637737
14.267484,4.2187123,1.9393626
13.6162405,5.0567083,3.213117
12.9865465,3.6991546,1.8771114
11.382382,3.2538195,1.9441512
13.716801,2.8084843,3.4453614
14.973795,1.934574,3.5483153
15.45265,-0.3304099,2.2889266
