@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 12:48:25 GMT+07:00 2019, Sampling Rate:20ms

K6DS3TR_Acceleration_Sensor.x,K6DS3TR_Acceleration_Sensor.y,K6DS3TR_Acceleration_Sensor.z
0.0,0.0,0.0
0.0,0.0,0.0
2.9521408,4.331243,6.5196104
1.0199611,3.849994,7.240287
0.6177229,3.6560576,7.225921
3.9840732,4.0319586,6.7303066
4.0750556,4.529968,5.8587904
3.057489,3.4046588,8.930645
2.4708917,3.3400133,11.717581
2.8515813,3.301705,11.652935
3.2610023,3.529161,10.659311
3.6823947,3.9002736,9.447808
4.4389853,4.2642035,8.0687065
4.295329,3.8045027,6.857203
3.7709827,3.1604428,6.316097
2.5235655,2.5594797,5.7390766
3.8188684,1.9154198,2.9856608
4.6544704,1.9704882,2.17879
5.296136,1.3455825,4.170827
4.781367,0.51955765,5.219519
5.087834,0.19154198,3.6967604
6.366377,-0.74222517,2.1404817
8.030397,-1.185166,3.929005
8.499676,-1.3455825,4.8388295
10.106234,-1.4437478,3.007209
12.455017,-1.6664152,1.6017698
13.8915825,-1.3527653,2.1189332
14.289032,-0.8379962,4.103787
13.915525,-1.0965779,4.331243
14.066364,-1.3360053,4.529968
14.502123,-1.3168511,3.7111259
14.243541,-1.0271438,2.22907
12.306573,-1.4581133,1.3312168
10.855642,-1.838803,1.2785428
10.075109,-2.423006,0.2681588
9.694419,-3.1293173,0.62251145
8.341654,-4.410254,0.031125572
7.953781,-4.9944572,0.57462597
8.152506,-5.4230323,0.9768641
8.427847,-5.715134,1.1492519
9.016839,-5.9832926,1.3312168
8.008849,-6.682421,2.1811843
7.4701376,-7.108602,2.6241252
6.63693,-7.3312693,2.185973
6.7039695,-7.9920893,0.74701375
7.326481,-9.07909,0.5985687
6.9577627,-9.725544,1.2761484
6.6800265,-10.568329,1.9944309
6.387925,-11.65533,4.008016
6.387925,-11.65533,4.008016
9.296969,-11.866026,2.770176
6.6680555,-13.723983,2.1045675
6.038361,-13.968199,1.7310607
5.863579,-13.64976,0.9289786
5.1045938,-12.617828,-0.021548472
5.2745876,-12.383189,0.016759925
6.794952,-11.051972,0.7829279
9.270632,-8.76544,1.3072741
11.303371,-6.014418,2.2841382
13.972988,-3.7781656,2.7031362
14.423112,-1.5562786,2.6791935
14.533248,0.6847626,1.498816
14.894784,1.036721,1.9154198
15.045623,1.9202085,4.565882
15.610672,2.3942747,6.639324
16.336138,2.2793496,7.326481
17.09991,0.56744313,6.6704497
16.872454,-1.9920366,6.119766
17.289059,-4.5874305,5.0614967
17.708057,-7.980118,4.410254
17.901993,-10.759871,4.355186
19.858116,-15.546026,5.3919067
19.874876,-16.048824,5.5619006
20.013742,-18.45507,6.282577
21.330595,-20.825403,6.7853746
22.827017,-22.23563,7.391126
24.299496,-23.751205,8.28898
23.1263,-23.940353,7.9418097
22.357738,-23.044895,6.4573593
20.736814,-21.728045,4.865166
18.711258,-19.846144,4.3791285
17.245962,-18.433521,4.192375
13.99693,-16.838934,2.8587642
10.992116,-15.569969,2.1668186
8.447001,-13.862851,1.6017698
5.3033185,-12.625011,1.5993756
1.802889,-10.515655,1.4150164
0.723071,-8.523619,1.1133378
1.4078336,-7.18043,0.5243462
1.8771114,-6.3998966,0.20351335
1.1995317,-5.954561,0.31604427
0.66800267,-5.8013277,0.23224466
-0.105348095,-5.7199225,-0.53392327
-1.1660118,-6.1915946,-1.0558752
-1.4509305,-6.517216,-0.6057515
-0.76137936,-7.388732,0.11253092
0.083799616,-8.020821,0.5985687
0.95531565,-8.499676,0.24182175
3.265791,-9.553157,-0.22266756
5.4230323,-10.834093,-1.3096683
6.91706,-12.376006,-0.63208854
8.597841,-12.9865465,2.1883671
13.644972,-13.5922985,3.5507095
16.642605,-13.680886,2.063865
16.946676,-14.47818,-0.89067024
17.91157,-15.162942,-2.3727264
18.78548,-16.264309,-1.5059988
19.190113,-18.100718,1.1205206
18.07438,-19.532494,3.675212
17.344128,-20.025715,6.426234
19.127861,-20.52133,7.520417
20.22444,-19.929943,7.680834
19.803047,-19.326586,7.7861814
19.288279,-18.512533,8.269825
18.122267,-16.436697,8.466156
17.032871,-14.365649,7.450983
15.598701,-12.421497,6.2586346
14.317763,-10.862824,5.5786605
13.805388,-9.086273,5.0423427
14.74155,-7.4653487,4.8340406
16.546833,-5.9808984,5.1716337
16.688095,-2.3224466,7.778999
16.635422,0.6081458,9.792584
16.300222,1.4485363,9.96976
15.601094,1.1779832,9.857229
14.801407,1.0223553,10.733534
15.275474,-0.90503585,10.831699
16.053612,-2.4373717,9.929058
16.642605,-4.723904,8.190814
16.039248,-7.702382,6.002447
15.354485,-10.568329,4.747847
15.203645,-12.687263,4.1756153
15.553209,-14.274667,4.0032277
16.83654,-16.448668,4.106181
18.289865,-19.158987,4.225895
19.736008,-20.890047,3.4022646
20.712872,-21.979443,2.5475085
20.636255,-22.951519,1.6281068
18.304232,-22.733639,1.6257126
15.792637,-21.62509,1.759792
13.791023,-19.618689,1.908237
12.725571,-18.783087,1.8244374
10.901134,-16.659365,1.6137413
10.065532,-15.249136,1.6424725
8.427847,-13.568356,2.0758362
6.308914,-12.019259,2.6217308
4.80531,-10.855642,2.6289136
3.615355,-10.185245,1.9393626
2.865947,-9.656111,0.531529
1.7095122,-9.239507,-0.7996878
1.664021,-8.492493,-1.3647367
2.4541316,-8.279403,-1.8890828
0.79250497,-9.002473,-2.5929997
-1.6305012,-11.073521,-2.7893302
-3.059883,-12.586702,-0.96489275
-2.2170985,-13.039221,0.87630457
0.19393626,-13.2307625,2.413429
3.1915684,-12.189253,3.840417
7.9992723,-11.645753,3.4142358
9.601042,-12.287418,-2.0087965
8.743892,-13.223579,-5.437398
10.728745,-15.6777115,-5.2674046
11.703216,-18.055227,-0.3974496
12.376006,-20.13585,5.0207944
14.755916,-21.16539,7.103813
18.91477,-22.953913,4.170827
18.280289,-22.585194,1.960911
19.22124,-22.657022,3.2442424
20.183737,-22.850958,4.982486
18.941109,-21.553263,5.652883
16.817387,-19.587563,4.72151
16.50613,-19.1949,4.3168774
16.496553,-16.532467,4.1181526
19.125467,-13.297802,3.964919
20.222046,-10.458193,2.257801
20.265142,-6.6345353,3.8284454
21.100744,-1.8962656,9.483723
21.862123,2.257801,14.621837
20.384855,4.1325183,14.250724
17.703268,3.0383348,9.170073
15.8979845,2.3535721,5.276982
16.27628,1.812466,6.0263896
16.273886,0.25379312,7.3145094
15.287445,-2.9066496,7.90829
14.540431,-5.940196,6.8859344
14.803802,-9.462174,5.956956
16.647392,-13.216397,4.992063
18.60591,-15.61546,4.3911
20.013742,-18.201277,4.35758
21.665792,-21.151024,3.9768906
22.709696,-23.351362,3.694366
23.55248,-24.558077,2.3152637
23.696138,-25.357765,1.4054393
22.472664,-25.563673,2.3463893
20.447107,-25.185377,2.9641123
17.578766,-23.825428,2.5929997
14.324946,-22.029722,2.7031362
10.975356,-19.659391,2.7725701
8.937828,-17.212442,2.5738454
6.768615,-15.8429165,1.8723229
4.2235007,-13.841303,1.5562786
3.6129606,-12.644165,1.5083932
2.4277947,-10.987327,1.3360053
1.4150164,-10.060742,0.42618093
0.2657645,-9.452597,-1.010384
0.0670397,-9.507666,-1.8890828
-1.3575538,-8.959376,-2.2937152
-2.0447106,-8.48531,-1.8292259
-0.84278476,-9.665688,-1.3934679
0.16281068,-10.963385,-0.42378664
3.0096035,-11.559559,2.0782306
5.7582307,-10.946625,2.832427
9.61062,-9.744699,0.19154198
8.38475,-9.972155,-3.7326744
6.751855,-11.643358,-5.849213
6.5986214,-12.699234,-4.6137676
7.458166,-14.731973,-0.6105401
9.62259,-17.377647,4.9393888
12.660925,-18.845337,5.6744313
17.554823,-20.104725,6.3328567
17.241173,-19.72643,6.0670924
18.17973,-19.568407,5.1357193
18.979416,-19.26673,4.8340406
19.920366,-18.536476,4.37434
